Name;NetWorth;Country;Source;Rank;Age;Residence;Citizenship;Status;Children;Education;Self_made;
Zhang Wenzhong;03.сен;China;supermarkets;752;59.0;Beijing, China;China;;;;True;
Euisun Chung;03.авг;South Korea;Hyundai;775;50.0;Seoul, South Korea;South Korea;Married;2.0;Bachelor of Arts/Science, Korea University;;
Daniel D'Aniello;03.авг;United States;private equity;775;74.0;Vienna, Virginia;United States;Married;2.0;Master of Business Administration, Harvard University;;
Oleg Deripaska;03.авг;Russia;aluminum, utilities;775;53.0;Moscow, Russia;Russia;Divorced;2.0;Bachelor of Arts/Science, Moscow State University;True;
Sergey Dmitriev;03.авг;Russia;computer software;775;55.0;Prague, Czechia;Russia;;;Master of Science, Saint Petersburg State University;True;
Feng Hailiang;03.авг;China;copper, education;775;60.0;Zhuji, China;China;Married;2.0;Master of Business Administration, Zhejiang University;True;
John Gandel;03.авг;Australia;shopping malls;775;86.0;Melbourne, Australia;Australia;Married;4.0;Doctorate, Monash University;False;
Gao Dekang & family;03.авг;China;apparel;775;69.0;Changshu, China;China;Married;3.0;EMBA, Phoenix International University;True;
Jaime Gilinski Bacal;03.авг;Colombia;banking;775;63.0;London, United Kingdom;Colombia;Married;4.0;Master of Business Administration, Harvard Business School;False;
Sergei Gordeev;03.авг;Russia;real estate;775;48.0;Moscow, Russia;Russia;Single;;Bachelor of Arts/Science, Togliatti Academy of Management;True;
Jeff Green;03.авг;United States;online advertising;775;44.0;Newbury Park, California;United States;;;;True;
Amos Hostetter; Jr.;03.авг;United States;cable television;775;84.0;Boston, Massachusetts;United States;Married;3.0;Bachelor of Arts/Science, Amherst College;
Kuok Khoon Hong;03.авг;Singapore;palm oil;775;71.0;Singapore, Singapore;Singapore;Married;4.0;;False;
Lai Jianping;03.авг;China;soy sauce;775;;Foshan, China;China;;;;True;
Aerin Lauder;03.авг;United States;cosmetics;775;51.0;New York, New York;United States;Married;2.0;Bachelor of Arts/Science, University of Pennsylvania;False;
Hans Georg Naeder;03.авг;Germany;prosthetics;775;59.0;Duderstadt, Germany;Germany;Divorced;2.0;;False;
Maren Otto;03.авг;Germany;retail, real estate;775;;Berlin, Germany;Germany;Widowed;;;False;
Clive Palmer;03.авг;Australia;mining;775;67.0;Brisbane, Australia;Australia;Married;3.0;;True;
Karsanbhai Patel;03.авг;India;consumer goods;775;77.0;Ahmedabad, India;India;Married;3.0;;True;
Qiu Jianping & family;03.авг;China;hand tools;775;59.0;Hangzhou, China;China;Married;;Master of Science, Xi'an Jiaotong University;True;
Wolfgang Reimann;03.авг;Germany;consumer goods;775;68.0;Passau, Germany;Germany;;;;False;
Matthias Reimann-Andersen;03.авг;Germany;consumer goods;775;56.0;Munich, Germany;Germany;;;;False;
Stefan Reimann-Andersen;03.авг;Germany;consumer goods;775;57.0;Vienna, Austria;Germany;;;;False;
Renate Reimann-Haas;03.авг;Germany;consumer goods;775;69.0;Vienna, Austria;Germany;;;;False;
Dirk Rossmann & family;03.авг;Germany;drugstores;775;74.0;Lower-Saxony, Germany;Germany;Married;2.0;;True;
Shaul Shani;03.авг;Israel;telecom;775;66.0;Italy;Israel;;;;True;
Song Fei;03.авг;China;machinery;775;54.0;Yantai, China;China;Married;;;True;
Donald Sterling;03.авг;United States;real estate;775;87.0;Beverly Hills, California;United States;Married;3.0;Bachelor of Arts/Science, California State Los Angeles;;
Ivar Tollefsen;03.авг;Norway;real estate;775;59.0;Oslo, Norway;Norway;;;;True;
Don Vultaggio & family;03.авг;United States;beverages;775;69.0;Port Washington, New York;United States;Married;2.0;High School Graduate, High School;True;
Nusli Wadia;03.авг;India;consumer goods;775;77.0;Mumbai, India;India;Married;2.0;;False;
Zhang Jin;03.авг;China;commodities;775;49.0;Guangzhou, China;China;;;Master of Arts, Hong Kong Polytechnic University;;
Zhu Gongshan;03.авг;China;solar panel materials;775;63.0;Shanghai, China;China;Married;2.0;;True;
Peter Gilgan;03.июл;Canada;homebuilding;807;70.0;Oakville, Canada;Canada;Married;8.0;;True;
Marian Ilitch;03.июл;United States;Little Caesars;807;88.0;Bingham Farms, Michigan;United States;Widowed;7.0;Diploma, High School;;
Kong Jian Min;03.июл;China;real estate;807;53.0;Guangzhou, China;China;;;Bachelor of Arts/Science, Jinan University;True;
Li Liangbin;03.июл;China;lithium;807;53.0;Xinyu, China;China;;;;True;
Li Yongxin & family;03.июл;China;education;807;45.0;Beijing, China;China;Married;;Bachelor of Arts/Science, Peking University;True;
Mary Alice Dorrance Malone;03.июл;United States;Campbell Soup;807;71.0;Coatesville, Pennsylvania;United States;Divorced;2.0;Bachelor of Arts/Science, University of Arizona;False;
Michael Milken;03.июл;United States;investments;807;74.0;Los Angeles, California;United States;Married;3.0;Bachelor of Arts/Science, University of California, Berkeley;;
Ronald Perelman;03.июл;United States;leveraged buyouts;807;78.0;New York, New York;United States;Married;8.0;Bachelor of Arts/Science, University of Pennsylvania;;
Candido Pinheiro Koren de Lima;03.июл;Brazil;hospitals, health insurance;807;74.0;Fortaleza, Brazil;Brazil;Married;2.0;;True;
J. Joe Ricketts & family;03.июл;United States;TD Ameritrade;807;79.0;Little Jackson Hole, Wyoming;United States;Married;4.0;Bachelor of Arts/Science, Creighton University;True;
Paolo & Gianfelice Mario Rocca;03.июл;Italy;pipe manufacturing;807;;Buenos Aires, Argentina;Italy;;;Certificate, Harvard Business School;False;
Jeff Rothschild;03.июл;United States;Facebook;807;66.0;Palo Alto, California;United States;Married;3.0;Bachelor of Arts/Science, Vanderbilt University;;
David Rubenstein;03.июл;United States;private equity;807;71.0;Bethesda, Maryland;United States;Divorced;3.0;Bachelor of Arts/Science, Duke University;;
Maria-Elisabeth Schaeffler-Thumann;03.июл;Germany;auto parts;807;79.0;Herzogenaurach, Germany;Germany;Married;;;False;
Steven Spielberg;03.июл;United States;movies;807;74.0;Pacific Palisades, California;United States;Married;7.0;Bachelor of Arts/Science, California State Long Beach;True;
Barry Sternlicht;03.июл;United States;private equity;807;60.0;Miami, Florida;United States;Married;3.0;Bachelor of Arts/Science, Brown University;True;
Mark Stevens;03.июл;United States;venture capital;807;61.0;Steamboat Springs, Colorado;United States;Married;3.0;Master of Business Administration, Harvard University;;
David Steward;03.июл;United States;IT provider;807;69.0;St. Louis, Missouri;United States;Married;;Bachelor of Arts/Science, Central Missouri State University;True;
Vincent Viola;03.июл;United States;electronic trading;807;65.0;New York, New York;United States;Married;3.0;Doctor of Jurisprudence, New York Law School;;
Todd Wanek;03.июл;United States;furniture;807;57.0;St. Petersburg, Florida;United States;Married;2.0;;False;
Wang Roger;03.июл;United States;retail;807;72.0;Nanjing, China;United States;Married;2.0;Bachelor of Arts/Science, Chinese Culture University;;
Russ Weiner;03.июл;United States;energy drinks;807;51.0;Delray Beach, Florida;United States;Single;;Bachelor of Arts/Science, San Diego State University;True;
Herbert Wertheim;03.июл;United States;investments;807;81.0;Coral Gables, Florida;United States;Married;;Associate in Arts/Science, Brevard Community College;;
Xu Shugen;03.июл;China;construction, mining machinery;807;55.0;Hangzhou, China;China;;;;True;
Anil Agarwal & family;03.июн;India;mining, metals;831;67.0;London, United Kingdom;India;Married;2.0;;True;
Majid Al Futtaim & family;03.июн;United Arab Emirates;real estate, retail;831;;Dubai, United Arab Emirates;United Arab Emirates;Married;;;False;
Leonid Boguslavsky;03.июн;Russia;venture capital;831;69.0;Moscow, Russia;Russia;Married;4.0;Master of Science, Moscow Institute for Transport Engineering;True;
Austen Cargill; II.;03.июн;United States;Cargill;831;70.0;Livingston, Montana;United States;Divorced;2.0;Doctorate, Oregon State University;
James Cargill; II.;03.июн;United States;Cargill;831;72.0;Birchwood, Wisconsin;United States;Married;2.0;;POINT (-91.5561191 45.6580886)
Chu Lam Yiu;03.июн;Hong Kong;flavorings;831;51.0;Hong Kong, Hong Kong;Hong Kong;Married;;;True;
